ID,Numero di recensioni,Totolo del libro,Recensioni positive,Recensioni negative,Recensioni neutrali
B004XKRO6Q,1166,"The Lord of the Rings - The Motion Picture Trilogy, Extended Edition",98.00%,1.00%,1.00%
B0041KWD6Y,122,Pomi d'ottone e manici di scopa,97.00%,2.00%,2.00%
B078H2XDQ2,264,Coco,96.00%,2.00%,2.00%
B00AGD6MUS,196,Quasi amici,95.00%,2.00%,3.00%
B0041KY2Q8,146,Gli Aristogatti,95.00%,3.00%,2.00%
