ID,Numero di recensioni,Totolo del libro,Recensioni positive,Recensioni negative,Recensioni neutrali
B0781YXHRH,152,Star Wars: Gli Ultimi Jedi,64%,25%,11%
B01BMCRNFY,135,Deadpool,74%,18%,8%
B019C00JYA,246,Star Wars: Il Risveglio della Forza,74%,14%,12%
B07C8FCK6G,174,Harry Potter Collection (Standard Edition) (8 Dvd),86%,12%,2%
B0071AO594,157,Rocky - La Collezione Completa,80%,11%,9%
