ID,Numero di recensioni,Totolo del libro,Recensioni positive,Recensioni negative,Recensioni neutrali
B0746PN4PZ,198,"Nacon Revolution Pro Controller 2, Nero - PlayStation 4",59.60%,30.81%,9.60%
B06XWYC4QP,140,Destiny 2 + DLC Esclusivo Amazon - PlayStation 4,55.71%,27.86%,16.43%
B0746R8TKN,130,"Nacon Compact Controller, Blu - PlayStation 4",62.31%,24.62%,13.08%
B01BVEEJG4,580,Gran Turismo Sport - PlayStation 4,68.45%,23.10%,8.45%
B00499DB7W,436,Two Dots Universal Pro Driving Simulator Supporto universale ripiegabile,57.34%,21.33%,21.33%
