,product,reviews_number,title,positive,negative,neutral,positive_percent,negative_percent,neutral_percent
851,B01MF8TJV5,7,Red Dead Redemption 2,6.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
852,B01MQ6HJAP,20,Hellvisback Platinum,17.0,1.0,2.0,0.85,0.05,0.1
853,B01MQKKON7,100,Animali Fantastici e Dove Trovarli,90.0,1.0,9.0,0.9,0.01,0.09
854,B01MQV7UCI,96,Rogue One: A Star Wars Story,81.0,7.0,8.0,0.84375,0.07291666666666667,0.08333333333333333
855,B01MQXMXL3,255,Oceania,235.0,10.0,10.0,0.9215686274509803,0.0392156862745098,0.0392156862745098
856,B01MRUUSPR,183,"PlayStation 4 - Dualshock 4 Controller Wireless V2, Bianco (Glacier White)",152.0,24.0,7.0,0.8306010928961749,0.13114754098360656,0.03825136612021858
857,B01MRZ0Y41,100,Oceania,97.0,2.0,1.0,0.97,0.02,0.01
858,B01MS7YUA7,12,Nintendo Switch Joy-Con Comfort Grip (Nero) - [Edizione: Regno Unito],8.0,1.0,3.0,0.6666666666666666,0.08333333333333333,0.25
859,B01MS894C1,406,Mario Kart 8 Deluxe - Nintendo Switch,399.0,5.0,2.0,0.9827586206896551,0.012315270935960592,0.0049261083743842365
860,B01MSB0LJF,169,Splatoon 2 - Nintendo Switch,153.0,9.0,7.0,0.9053254437869822,0.05325443786982249,0.04142011834319527
861,B01MSJUCFN,16,Fuoricampo,13.0,2.0,1.0,0.8125,0.125,0.0625
862,B01MY13UKE,145,"Xbox One: Wireless Controller, Rosso",125.0,17.0,3.0,0.8620689655172413,0.11724137931034483,0.020689655172413793
863,B01MY72DNS,161,÷,152.0,4.0,5.0,0.9440993788819876,0.024844720496894408,0.031055900621118012
864,B01MYZU6L1,13,"Musica Da Giostra, Vol. 4",11.0,1.0,1.0,0.8461538461538461,0.07692307692307693,0.07692307692307693
865,B01MZAUN5E,21,Hori Stand di Ricarica per 4 Joy-con - Nintendo Switch,19.0,2.0,0.0,0.9047619047619048,0.09523809523809523,0.0
866,B01MZDDLTF,65,Lego City Undercover - PlayStation 4,64.0,0.0,1.0,0.9846153846153847,0.0,0.015384615384615385
867,B01MZDMVJ2,29,Mulholland,22.0,7.0,0.0,0.7586206896551724,0.2413793103448276,0.0
868,B01N10NX3M,26,Nintendo Switch: Blocco Alimentatore,24.0,1.0,1.0,0.9230769230769231,0.038461538461538464,0.038461538461538464
869,B01N1PQY0U,32,"PlayStation 4: Dualshock Controller, Silver V2",28.0,3.0,1.0,0.875,0.09375,0.03125
870,B01N1PQY7A,69,"PlayStation 4: Dualshock Controller, Gold V2",64.0,4.0,1.0,0.927536231884058,0.057971014492753624,0.014492753623188406
